
TEST CASES
case	A	B	C	D	E	F	G	pairings
1	A1	B1	C1	D1	E1	F1	G1	21
2	A2	B1	C2	D2	E2	F2	G2	21
3	A1	B1	C3	D2	E3	F3	G3	19
4	A2	B1	C4	D1	E3	F1	G2	14
5	A2	~B1	C1	D1	E1	F2	G3	10
6	A1	~B1	C2	D1	E2	F3	G1	10
7	A2	~B1	C3	D2	E1	F1	G1	8
8	A1	~B1	C4	D2	E3	F2	G1	8
9	A1	~B1	C1	D2	E1	F3	G2	7
10	~A1	~B1	C3	D1	E2	F1	G3	5
11	A2	~B1	C2	~D1	E3	F3	G3	3
12	~A2	~B1	C4	~D2	E2	F3	G3	3
13	~A1	~B1	C2	~D2	E1	F1	~G2	2
14	~A2	~B1	C3	~D1	~E2	F2	G2	2
15	~A2	~B1	C1	~D2	E3	~F2	~G1	1
16	~A1	~B1	C4	~D1	E1	~F2	~G3	1
17	~A1	~B1	C1	~D2	E2	~F1	~G2	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
C	A	C1	A1	3	1, 9, 17
C	A	C1	A2	2	5, 15
C	A	C2	A1	2	6, 13
C	A	C2	A2	2	2, 11
C	A	C3	A1	2	3, 10
C	A	C3	A2	2	7, 14
C	A	C4	A1	2	8, 16
C	A	C4	A2	2	4, 12
C	D	C1	D1	2	1, 5
C	D	C1	D2	3	9, 15, 17
C	D	C2	D1	2	6, 11
C	D	C2	D2	2	2, 13
C	D	C3	D1	2	10, 14
C	D	C3	D2	2	3, 7
C	D	C4	D1	2	4, 16
C	D	C4	D2	2	8, 12
C	B	C1	B1	5	1, 5, 9, 15, 17
C	B	C2	B1	4	2, 6, 11, 13
C	B	C3	B1	4	3, 7, 10, 14
C	B	C4	B1	4	4, 8, 12, 16
F	G	F1	G1	2	1, 7
F	G	F1	G2	3	4, 13, 17
F	G	F1	G3	1	10
F	G	F2	G1	2	8, 15
F	G	F2	G2	2	2, 14
F	G	F2	G3	2	5, 16
F	G	F3	G1	1	6
F	G	F3	G2	1	9
F	G	F3	G3	3	3, 11, 12
F	E	F1	E1	3	1, 7, 13
F	E	F1	E2	2	10, 17
F	E	F1	E3	1	4
F	E	F2	E1	2	5, 16
F	E	F2	E2	2	2, 14
F	E	F2	E3	2	8, 15
F	E	F3	E1	1	9
F	E	F3	E2	2	6, 12
F	E	F3	E3	2	3, 11
F	A	F1	A1	4	1, 10, 13, 17
F	A	F1	A2	2	4, 7
F	A	F2	A1	2	8, 16
F	A	F2	A2	4	2, 5, 14, 15
F	A	F3	A1	3	3, 6, 9
F	A	F3	A2	2	11, 12
F	D	F1	D1	3	1, 4, 10
F	D	F1	D2	3	7, 13, 17
F	D	F2	D1	3	5, 14, 16
F	D	F2	D2	3	2, 8, 15
F	D	F3	D1	2	6, 11
F	D	F3	D2	3	3, 9, 12
F	B	F1	B1	6	1, 4, 7, 10, 13, 17
F	B	F2	B1	6	2, 5, 8, 14, 15, 16
F	B	F3	B1	5	3, 6, 9, 11, 12
G	E	G1	E1	2	1, 7
G	E	G1	E2	1	6
G	E	G1	E3	2	8, 15
G	E	G2	E1	2	9, 13
G	E	G2	E2	3	2, 14, 17
G	E	G2	E3	1	4
G	E	G3	E1	2	5, 16
G	E	G3	E2	2	10, 12
G	E	G3	E3	2	3, 11
G	A	G1	A1	3	1, 6, 8
G	A	G1	A2	2	7, 15
G	A	G2	A1	3	9, 13, 17
G	A	G2	A2	3	2, 4, 14
G	A	G3	A1	3	3, 10, 16
G	A	G3	A2	3	5, 11, 12
G	D	G1	D1	2	1, 6
G	D	G1	D2	3	7, 8, 15
G	D	G2	D1	2	4, 14
G	D	G2	D2	4	2, 9, 13, 17
G	D	G3	D1	4	5, 10, 11, 16
G	D	G3	D2	2	3, 12
G	B	G1	B1	5	1, 6, 7, 8, 15
G	B	G2	B1	6	2, 4, 9, 13, 14, 17
G	B	G3	B1	6	3, 5, 10, 11, 12, 16
E	A	E1	A1	4	1, 9, 13, 16
E	A	E1	A2	2	5, 7
E	A	E2	A1	3	6, 10, 17
E	A	E2	A2	3	2, 12, 14
E	A	E3	A1	2	3, 8
E	A	E3	A2	3	4, 11, 15
E	D	E1	D1	3	1, 5, 16
E	D	E1	D2	3	7, 9, 13
E	D	E2	D1	3	6, 10, 14
E	D	E2	D2	3	2, 12, 17
E	D	E3	D1	2	4, 11
E	D	E3	D2	3	3, 8, 15
E	B	E1	B1	6	1, 5, 7, 9, 13, 16
E	B	E2	B1	6	2, 6, 10, 12, 14, 17
E	B	E3	B1	5	3, 4, 8, 11, 15
A	D	A1	D1	4	1, 6, 10, 16
A	D	A1	D2	5	3, 8, 9, 13, 17
A	D	A2	D1	4	4, 5, 11, 14
A	D	A2	D2	4	2, 7, 12, 15
A	B	A1	B1	9	1, 3, 6, 8, 9, 10, 13, 16, 17
A	B	A2	B1	8	2, 4, 5, 7, 11, 12, 14, 15
D	B	D1	B1	8	1, 4, 5, 6, 10, 11, 14, 16
D	B	D2	B1	9	2, 3, 7, 8, 9, 12, 13, 15, 17
